연번,보험구분,사업장명,사업장우편번호,사업장주소,고용보험 업종코드,고용보험 업종명,산재보험 성립일자,고용보험 성립일자,산재보험 상시근로자수,고용보험 상시근로자수,산재보험 사업구분,고용보험 사업구분,사업자등록번호,사업장관리번호,고용보험 업종코드(제11차),고용보험 업종명(제11차)
1136705,0,일등건설중기,61489,광주광역시 동구 양림로119번길7,42600,건설장비 운영업,41913,41913,3,3,계속,계속,4102340421,41023404210,42600,건설장비 운영업
1136779,0,광남디자인,61488,광주 동구 문화전당로23번길 28,58113,일반 서적 출판업,40651,40651,1,1,계속,계속,4102376690,41023766900,58113,일반 서적 출판업
1137033,0,강남옥과한우촌,61453,광주광역시 동구 필문대로365,56221,커피 전문점,41514,41514,6,6,계속,계속,4102553600,41025536000,56221,커피 전문점
1137124,0,디자인함께,61482,광주 동구 금남로  236,73201,인테리어 디자인업,42472,42472,1,1,계속,계속,4102596235,41025962350,73201,인테리어 디자인업
1137163,0,코리아 컨설트(KOREA CONSULT),61479,광주광역시 동구 천변우로 351,71531,경영 컨설팅업,41821,41821,1,1,계속,계속,4102642191,41026421910,71531,경영 컨설팅업
1137251,0,For美(포미),61483,광주 동구 충장로안길 6,46443,화장품 및 화장용품 도매업,42006,42006,1,1,계속,계속,4102678307,41026783070,46443,화장품 및 화장용품 도매업
1137560,0,로뎀약국,61468,광주광역시 동구  백서로 145-1,47811,의약품 및 의료용품 소매업,40756,40756,8,9,계속,계속,4102822340,41028223400,47811,의약품 및 의료용품 소매업
1137578,0,현테크,61433,광주 동구 경양로 360-1,28123,배전반 및 전기 자동제어반 제조업,42309,42309,3,3,계속,계속,4102825954,41028259540,28123,배전반 및 전기 자동제어반 제조업
1137579,1,현테크,61433,광주 동구경양로 360-1,,,45385,,1,0,일괄유기,,4102825954,41028259546,,
1137828,0,학동프라자(본점),61463,광주 동구 남문로 684,47312,통신기기 소매업,41583,41583,1,1,계속,계속,4102943298,41029432980,47312,통신기기 소매업
1138025,0,이십일디에프(21DF),61421,광주 동구 무등로306번길 30-1,47312,통신기기 소매업,41255,41255,0,0,계속,계속,4102999851,41029998510,47312,통신기기 소매업
1138058,0,DNA디자인,61432,광주 동구 동명로67번길 21,73203,시각 디자인업,42186,42186,4,4,계속,계속,4103007492,41030074920,73203,시각 디자인업
1138136,0,더주얼,61472,광주광역시 동구 중앙로193,47830,시계 및 귀금속 소매업,41641,41641,1,1,계속,계속,4103023420,41030234200,47830,시계 및 귀금속 소매업
1138160,0,인디고뱅크NC점,61480,광주 동구 중앙로 163,47412,여자용 겉옷 소매업,44929,44929,1,1,계속,계속,4103029119,41030291190,47412,여자용 겉옷 소매업
1138227,0,에이블파트너스,61489,광주 동구 백서로 128-1,71392,"광고물 문안, 도안, 설계 등 작성업",41445,41445,1,1,계속,계속,4103051381,41030513810,71392,"광고물 문안, 도안, 설계 등 작성업"
1138228,0,건축사사무소에코,61430,광주광역시 동구 동명로 19-16,72111,건축설계 및 관련 서비스업,45170,45170,2,2,계속,계속,4103051417,41030514170,72111,건축설계 및 관련 서비스업
1138389,0,김밥나라 구시청점,61487,광주광역시 동구 문화전당로35번길18,56191,김밥 및 기타 간이 음식점업,41744,41744,1,1,계속,계속,4103103396,41031033960,56191,김밥 및 기타 간이 음식점업
1138502,0,광장약국,61454,광주 동구 남문로744번길 21,47811,의약품 및 의료용품 소매업,41671,41671,1,1,계속,계속,4103140159,41031401590,47811,의약품 및 의료용품 소매업
1138598,0,리바랩,61436,광주광역시 동구  동계천로 150,72922,제도업,41852,41852,6,6,계속,계속,4103157664,41031576640,72922,제도업
1138724,0,토라네코(신창),61436,광주 동구 장동로 23-33,56150,제과점업,42430,42430,1,1,계속,계속,4103191890,41031918900,56150,제과점업
1138802,0,빈드럭스,61447,광주 동구 지호로124번길 32,56221,커피 전문점,42177,42177,3,3,계속,계속,4103214978,41032149780,56221,커피 전문점
1138834,0,만계치킨조대점(본점),61449,광주 동구 필문대로287번길 23-11,56162,치킨 전문점,42736,42736,2,2,계속,계속,4103222390,41032223900,56162,치킨 전문점
1138935,0,마노애드,61434,광주광역시 동구  동명로14번길 11-5,71310,광고 대행업,42156,42156,1,1,계속,계속,4103244491,41032444910,71310,광고 대행업
1139038,0,마틸닭,61436,광주광역시 동구 장동로 23-59,56111,한식 일반 음식점업,45962,45962,4,4,계속,계속,4103701425,41037014250,56111,한식 일반 음식점업
1139113,0,"심리상담카페마음,안녕",61448,광주 동구 지호로 4,56229,기타 비알코올 음료점업,42569,42569,9,9,계속,계속,4104600151,41046001510,56229,기타 비알코올 음료점업
1139888,0,(주)삼산기공,61478,광주 동구 천변우로  339,25112,구조용 금속 판제품 및 공작물 제조업,32478,34881,12,13,계속,계속,4108106286,41081062860,25112,구조용 금속 판제품 및 공작물 제조업
1139889,0,(주)삼산기공,61478,광주 동구 천변우로 339,41122,제조업 및 유사 산업용 건물 건설업,37987,37987,11,11,일괄유기,일괄유기,4108106286,41081062866,41122,제조업 및 유사 산업용 건물 건설업
1140018,0,동화운수(유),61514,광주 동구 남문로 333,49212,시내버스 운송업,32568,34881,172,175,계속,계속,4108117518,41081175180,49212,시내버스 운송업
1140025,0,운림제주식회사,61494,광주광역시 동구 동산길29,91299,그 외 기타 분류 안된 오락관련 서비스업,41255,41255,1,0,계속,계속,4108118031,41081180310,91299,그 외 기타 분류 안된 오락관련 서비스업
1140076,0,(주)가민정보시스템,61431,광주광역시 동구 동계천로 76,58221,시스템 소프트웨어 개발 및 공급업,34912,35855,52,52,계속,계속,4108122404,41081224040,58221,시스템 소프트웨어 개발 및 공급업
1140077,0,(주)가민정보시스템,61431,광주 동구 동계천로 76,42322,내부 통신배선 공사업,44370,44370,1,0,일괄유기,일괄유기,4108122404,41081224046,42322,내부 통신배선 공사업
1140180,0,(주)삼화건설기술공사,61478,광주광역시 동구  천변우로 339,72921,측량업,34851,35796,1,1,계속,계속,4108128238,41081282380,72921,측량업
1140202,0,싸이버테크(주),61436,광주광역시 동구  동계천로 150,71519,기타 산업 회사 본부,34915,35855,74,65,계속,계속,4108129576,41081295760,71519,기타 산업 회사 본부
1140203,0,싸이버테크(주),61436,광주 동구 동계천로 150,42321,일반 통신 공사업,38679,38679,1,0,일괄유기,일괄유기,4108129576,41081295766,42321,일반 통신 공사업
1140253,0,어업회사법인 대인수산(주),61427,광주광역시 동구  제봉로178번길 11,46315,"신선, 냉동 및 기타 수산물 도매업",37622,37622,1,1,계속,계속,4108132504,41081325040,46315,"신선, 냉동 및 기타 수산물 도매업"
1140281,0,(주)아주건설,61478,광주 동구 천변우로 339,41999,건설업본사,36708,35855,1,1,계속,계속,4108134195,41081341950,41999,건설업본사
1140334,0,(주)씨네씨티,61484,광주 동구 중앙로160번길 16-7,90110,공연시설 운영업,36904,36904,2,2,계속,계속,4108136631,41081366310,90110,공연시설 운영업
1140397,0,(주)진성에스엠알,61418,광주 동구 무등로 454,46593,정밀기기 및 과학기기 도매업,36526,35855,6,6,계속,계속,4108139813,41081398130,46593,정밀기기 및 과학기기 도매업
1140443,0,(주)반도메딕스,61488,광주 동구 천변우로 453,46441,의약품 도매업,36123,36040,10,10,계속,계속,4108142190,41081421900,46441,의약품 도매업
1140501,0,(주)혜민서,61458,광주 동구 남문로 697,96921,장례식장 및 장의관련 서비스업,36708,36069,31,31,계속,계속,4108143898,41081438980,96921,장례식장 및 장의관련 서비스업
1140672,0,(주)함흥건설,61478,광주광역시 동구  천변우로 339,41999,건설업본사,36342,36318,2,2,계속,계속,4108151103,41081511030,41999,건설업본사
1140673,0,(주)함흥건설,61478,광주 동구 천변우로 339,42491,"미장, 타일 및 방수 공사업",38937,38937,3,3,일괄유기,일괄유기,4108151103,41081511036,42491,"미장, 타일 및 방수 공사업"
1140772,0,한라건설기계（주）,61479,광주 동구 천변우로 363-20,76310,건설 및 토목공사용 기계장비 임대업,40118,40118,1,1,계속,계속,4108154513,41081545130,76310,건설 및 토목공사용 기계장비 임대업
1140818,0,(주)바이오메디,61400,광주광역시 동구 무등로 301-1,58221,시스템 소프트웨어 개발 및 공급업,36580,36580,2,1,계속,계속,4108156340,41081563400,58221,시스템 소프트웨어 개발 및 공급업
1140825,0,삼양물류(주),61421,광주 동구 무등로304번길 52,76190,기타 운송장비 임대업,38534,38534,1,1,계속,계속,4108156597,41081565970,76190,기타 운송장비 임대업
1140845,0,영창종합건설(주),61464,광주 동구 남문로693번길 11,41999,건설업본사,36526,36643,1,1,계속,계속,4108157427,41081574270,41999,건설업본사
1140846,0,영창종합건설(주),61464,광주 동구 남문로693번길 11,42199,기타 옥외 시설물 축조 관련 전문공사업,38364,38364,1,1,일괄유기,일괄유기,4108157427,41081574276,42199,기타 옥외 시설물 축조 관련 전문공사업
1140914,0,한국리페아(주),61478,광주 동구 천변우로 339,41999,건설업본사,36808,36808,6,9,계속,계속,4108160432,41081604320,41999,건설업본사
1140915,0,한국리페아(주),61478,광주 동구 천변우로 339,41229,기타 토목시설물 건설업,38353,38353,11,8,일괄유기,일괄유기,4108160432,41081604326,41229,기타 토목시설물 건설업
1140984,0,비오신코리아(주),61447,광주 동구 지호로 179-16,47129,기타 음ㆍ식료품 위주 종합 소매업,36708,36678,22,22,계속,계속,4108162876,41081628760,47129,기타 음ㆍ식료품 위주 종합 소매업
1140993,0,(주)우정의약품,61421,광주광역시 동구  독립로 338,46441,의약품 도매업,36982,36982,1,1,계속,계속,4108163249,41081632490,46441,의약품 도매업
1141034,0,(주)메디피아,61512,광주광역시 동구 주남길 16,46441,의약품 도매업,37067,37067,3,3,계속,계속,4108165174,41081651740,46441,의약품 도매업
1141153,0,(주)닷넷소프트,61431,광주 동구 제봉로140번길 10-1,58221,시스템 소프트웨어 개발 및 공급업,37257,37257,13,13,계속,계속,4108168851,41081688510,58221,시스템 소프트웨어 개발 및 공급업
1141283,0,주식회사조이투어,61472,광주 동구 구성로 180,75210,여행사업,38200,38200,6,6,계속,계속,4108173451,41081734510,75210,여행사업
1141347,0,(유한)우리가스엔지니어링,61511,광주 동구 남문로 415,47723,가정용 가스연료 소매업,37543,37543,6,6,계속,계속,4108175798,41081757980,47723,가정용 가스연료 소매업
1141348,0,(유한)우리가스엔지니어링,61511,광주 동구 남문로 415,42201,배관 및 냉ㆍ난방 공사업,45828,45828,9,9,일괄유기,일괄유기,4108175798,41081757986,42201,배관 및 냉ㆍ난방 공사업
1141446,0,피닉스팜　(주　),61499,광주 동구 남문로 637,46441,의약품 도매업,37865,37865,6,6,계속,계속,4108179509,41081795090,46441,의약품 도매업
1141549,0,(주)본디자인,61445,광주 동구 지호로 11,41999,건설업본사,37833,37833,1,1,계속,계속,4108182474,41081824740,41999,건설업본사
1141550,0,(주)본디자인,61445,광주 동구 지호로 11,42412,"도배, 실내장식 및 내장 목공사업",38380,38380,3,3,일괄유기,일괄유기,4108182474,41081824746,42412,"도배, 실내장식 및 내장 목공사업"
1141706,0,(주)하우,61475,광주광역시 동구 금남로 245,58221,시스템 소프트웨어 개발 및 공급업,38108,38108,8,8,계속,계속,4108187765,41081877650,58221,시스템 소프트웨어 개발 및 공급업
1141773,0,(주)미래약품물류,61421,광주광역시 동구  독립로 338,47811,의약품 및 의료용품 소매업,38313,38313,15,15,계속,계속,4108190635,41081906350,47811,의약품 및 의료용품 소매업
1141828,0,(주)포디자인,61475,광주 동구 금남로 245,73202,제품 디자인업,38328,38328,3,3,계속,계속,4108192138,41081921380,73202,제품 디자인업
1142199,0,(재단법인)대한예수교장로회전남노회유지재단,61499,광주 동구 남문로 629,94912,기독교 단체,36708,36069,1,1,계속,계속,4108203781,41082037810,94912,기독교 단체
1142234,0,한국청소년광주전남연맹,61473,광주광역시 동구 구성로204번길 22,94990,그 외 기타 협회 및 단체,37987,37987,2,2,계속,계속,4108205794,41082057940,94990,그 외 기타 협회 및 단체
1142297,0,(사)광주전남발전협의회,61481,광주 동구 금남로 182,94110,산업 단체,36708,36069,2,2,계속,계속,4108209053,41082090530,94110,산업 단체
1142351,0,(사회복지법인)백암어린이집,61506,광주 동구 천변좌로630번길 6,87210,보육시설 운영업,36039,36180,6,6,계속,계속,4108210472,41082104720,87210,보육시설 운영업
